array_out,n_features,n_passthrough,peak_memory,time
xarray,500000,1,1568.61328125,5.117670322
xarray,500000,1,1568.6796875,5.287829815
xarray,500000,2,1568.9921875,6.270626121
xarray,500000,2,1568.4765625,6.500793542
xarray,500000,2,1568.9296875,6.155282098
xarray,500000,3,1568.53125,7.135028381
xarray,500000,3,1569.0078125,7.054628567
xarray,500000,3,1568.87109375,7.221466423
pydata/sparse,100000,1,1149.36328125,4.17678741
pydata/sparse,100000,1,1149.5,4.215841491
pydata/sparse,100000,1,1149.69140625,4.119376866
pydata/sparse,100000,2,1463.390625,4.993702968
pydata/sparse,100000,2,1463.58984375,4.863729536
pydata/sparse,100000,2,1463.171875,4.832953817
pydata/sparse,100000,3,1463.28515625,6.002925881
pydata/sparse,100000,3,1463.15234375,5.957279542
pydata/sparse,100000,3,1462.9921875,5.717292479
pydata/sparse,300000,1,1150.04296875,4.459888616
pydata/sparse,300000,1,1148.78515625,4.316242039
pydata/sparse,300000,1,1149.40625,4.373476808
pydata/sparse,300000,2,1463.10546875,5.299512703
pydata/sparse,300000,2,1463.6484375,5.258501856
pydata/sparse,300000,2,1463.64453125,5.293019784
pydata/sparse,300000,3,1463.64453125,6.270732391
pydata/sparse,300000,3,1463.44921875,6.156767784
pydata/sparse,300000,3,1463.33984375,6.020298418
pydata/sparse,500000,1,1149.83203125,4.116544501
pydata/sparse,500000,1,1149.69921875,4.074314097
pydata/sparse,500000,1,1150.41015625,4.146127602
pydata/sparse,500000,2,1463.07421875,4.889310961
pydata/sparse,500000,2,1463.37109375,4.931611495
pydata/sparse,500000,2,1463.2578125,4.983964156
pydata/sparse,500000,3,1463.44140625,5.925121334
pydata/sparse,500000,3,1463.7734375,5.694530917
pydata/sparse,500000,3,1463.26953125,5.922227554
pandas/pydata/sparse,100000,1,2183.50390625,36.585010493
pandas/pydata/sparse,100000,1,2183.8046875,37.857536996
pandas/pydata/sparse,100000,1,2184.02734375,36.877928354
pandas/pydata/sparse,100000,2,2186.6328125,71.269337018
pandas/pydata/sparse,100000,2,2186.6015625,72.430535703
pandas/pydata/sparse,100000,2,2185.9296875,72.365964208
pandas/pydata/sparse,100000,3,2185.92578125,103.864270412
pandas/pydata/sparse,100000,3,2187.0234375,107.484161718
pandas/pydata/sparse,100000,3,2186.40625,103.441604535
pandas/pydata/sparse,300000,1,2211.34765625,45.093797346
pandas/pydata/sparse,300000,1,2211.1640625,44.920656236
pandas/pydata/sparse,300000,1,2211.51171875,43.671154674
pandas/pydata/sparse,300000,2,2214.2265625,88.304572221
pandas/pydata/sparse,300000,2,2214.0390625,85.978554921
pandas/pydata/sparse,300000,2,2214.20703125,85.78451855
pandas/pydata/sparse,300000,3,2213.62890625,131.555570537
pandas/pydata/sparse,300000,3,2214.37890625,132.120276963
pandas/pydata/sparse,300000,3,2214.3984375,127.473996334
pandas/pydata/sparse,500000,1,2230.421875,47.637632903
pandas/pydata/sparse,500000,1,2230.55859375,47.561781904
pandas/pydata/sparse,500000,1,2230.796875,47.42701542
pandas/pydata/sparse,500000,2,2234.2421875,92.119830465
pandas/pydata/sparse,500000,2,2234.7109375,94.031874192
pandas/pydata/sparse,500000,2,2234.640625,95.064747566
pandas/pydata/sparse,500000,3,2237.609375,141.632208306
pandas/pydata/sparse,500000,3,2237.5,138.400026854
pandas/pydata/sparse,500000,3,2237.5625,140.127573237
